F8W9Q8	ADCK1
B4DFI9	HUS1
Q13555-10	CAMK2G
G3V1V8	MYL2
J3QRX9	C17orf79
Q8WX77	IGFBPL1
F8VQD8	CNOT2
F6YA60	ITFG2
P35222	CTNNB1
E5RHD7	ASAP1
H7C1H9	IL2RB
A6NNJ1	FAM90A9P
H7C3W1	DFNA5
F8WAK2	GIT2
D6REK2	TRIM41
H3BV79	HAGH
Q6P9H5	GIMAP6
Q5TZF3-2	ANKRD45
I3L209	TGFB1I1
H7C358	TUBGCP6
Q8N4W6	DNAJC22
B4DPX4	VAT1
F5H5J8	CAPRIN2
A6NEX6	BTNL8
O95069-2	KCNK2
E9PM26	MS4A7
C9J0F6	UBA5
P02751-5	FN1
G5EA31	SEC24C
A6PVV7	ZNF687
Q96KR4	LMLN
Q9H0F5-3	RNF38
H0YNV4	MARK3
H0YBD9	FAM82B
Q9H0J4-3	QRICH2
B7Z1K2	HBS1L
J3KQE2	AGBL3
Q9HC96-6	CAPN10
Q15056-2	EIF4H
Q8NDZ2-3	C5orf25
G3V1W0	hCG_2038717
Q9NYR9-2	NKIRAS2
E9PQ29	C11orf48
O15270	SPTLC2
Q9BYH8-3	NFKBIZ
E9PMC3	SIDT2
Q92598	HSPH1
G5E9V5	MRPS22
C9JUX3	FRG2C
A8MVX0	ARHGEF33
O15228	GNPAT
Q8NGI7	OR10V1
H7BZD1	GLS
Q9UPP5-2	KIAA1107
D6RF58	RNF4
H0YIJ6	PIP4K2C
Q9NSU2-2	TREX1
Q7L4P6-2	BEND5
H0Y884	TTLL1
H0YLQ4	DUOXA1
O75937	DNAJC8
E5RGG5	SGMS2
C9JI92	ALS2CR8
F8WE74	SLC25A17
C9JM82	SEPT5
H7C264	ADAP1
P04553	PRM1
A6NGB0	TMEM191C
F8W0C6	KRT5
P78337	PITX1
F8W989	RNF13
I3L233	KANSL1
Q5TA82	LCE2D
Q8WWI5-2	SLC44A1
B4DQI8	RAP1B
B1AK87	CAPZB
Q96RL7-3	VPS13A
E5RI57	GABRP
O00458-2	IFRD1
Q3KNW3	TXNDC6
K7EPV4	ZNHIT3
Q2TV78	MST1L
Q7M4L6	SHF
Q15438-2	CYTH1
Q96D09	GPRASP2
E7EWV0	RBP1
F8VPM6	DNA2
Q9HAY2	MAGEF1
Q4VXL8	TACC2
O75334-3	PPFIA2
H0YLY3	CERS4
H7BY31	OBSCN
Q7Z6B7	SRGAP1
P45880-2	VDAC2
Q9Y5P2-2	CSAG2
P23229	ITGA6
H0YFA7	GNE
P08621	SNRNP70
J3KST4	TLK2
Q92834-4	RPGR
A8MST6	CEP78
H7C3Z8	MST1R
K7EII4	USP32
H0YM62	MEF2A
H0YAP2	PABPC1
H7C142	BNIP2
H3BNE3	BLOC1S6
C9JHW1	GIGYF2
Q5THR1	DHX35
E9PQL2	TYK2
P24001-4	IL32
H7C0I6	HJURP
G3V449	PSEN1
Q6ULP2-3	AFTPH
Q6E0U4-4	DMKN
O94804	STK10
H3BPE1	MACF1
A8K4E2	FOS
P15018	LIF
K7ELD7	ASXL3
C9J0M4	BCAP31
O60481-2	ZIC3
H7C305	LZTR1
F5H2A3	OSBP2
E7EVS6	ACTB
H0YCI9	PGAP2
H7C1L4	METTL6
Q15070	OXA1L
C9JX20	KLF7
F8VW32	TARBP2
G3V4Z4	ALDH6A1
C9JNR7	SEPT10
H0Y9V7	ATP2C1
P23469-3	PTPRE
H0Y8H0	DDX60L
G3V5H9	TDP1
P0C7N8	OR9G9
Q8TDF6-7	RASGRP4
F6SPX6	GBP3
H0YDL3	C11orf80
A6NKD9	CCDC85C
F5GWD8	GOLT1B
E9PPB8	FAR1
Q9NSE7-5	ABCC13
Q13432-2	UNC119
A8MPS7-3	YDJC
P22079-2	LPO
C9J1S5	ZNF772
E5RK28	SGK3
Q8N239	KLHL34
Q9HD15	SRA1
D6RFH9	None
K7EQY1	ASXL3
Q8WW12-2	PCNP
A2A3K4	PTPDC1
Q8NEV8-2	EXPH5
Q9NUL5-4	C19orf66
Q9NY84-6	VNN3
H0YDF0	FPGT
Q9H974	QTRTD1
Q01804-4	OTUD4
K7ELV2	SEH1L
C9JW37	PSMD14
E9PM19	TYK2
Q8TDC3-3	BRSK1
H0YHU1	None
Q9Y6Q9-2	NCOA3
Q9UBW7	ZMYM2
Q96QS1-5	TSPAN32
B4DY12	FBXL2
E7EVI4	TACC1
Q9NRD0	FBXO8
K7EIU8	SMAD4
H0YER6	MUTYH
F8VQW9	None
P36402-9	TCF7
G5E9W7	MRPS22
Q5VW27	NFIB
E9PSA0	S100PBP
Q63HM2	PCNXL4
Q9UNH6-2	SNX7
Q6UX82	LYPD8
H3BV13	PHKB
P55822	SH3BGR
P03915	MT-ND5
Q15878-3	CACNA1E
Q9BXI9-3	C1QTNF6
H0Y7F9	RAB11FIP3
F5H326	LDHC
Q12770	SCAP
A6NGQ3	OBSCN
E9PB19	MGRN1
O95278-6	EPM2A
Q12767-2	KIAA0195
Q5JUB9	PRUNE2
H0YBF6	ASH2L
A6NFY0	MPP1
E9PKG4	PPP6R3
H0Y5Z0	IL2RA
C9JUJ0	CGGBP1
Q5ZPR3-3	CD276
Q16585	SGCB
Q9Y399	MRPS2
A6NIB9	ADAMTSL1
P10632-2	CYP2C8
E9PM55	CCDC7
Q05682-6	CALD1
H0Y3Q1	VSTM5
F5H433	SALL2
Q9UFC0	LRWD1
Q7Z494	NPHP3
Q49A17-2	GALNTL6
F8VQQ3	C12orf10
J3KS18	SPECC1
Q96F44	TRIM11
Q5QPA5	MRPS18A
Q6ZNB6	NFXL1
O43320	FGF16
Q8N7V9	PRKAG1
Q8IZJ4	RGL4
D6RIC3	NOP16
G3V3N4	NDRG2
H0Y998	COL4A5
H0Y823	HLA-DPB1
P19484-2	TFEB
D6RA33	B4GALT7
K7EMV4	ELOF1
B0QZK7	HP1BP3
J3KST9	ATG13
Q9P1Z9-2	C9orf174
H0Y8L5	MLIP
H7BZW9	SLMAP
P22033	MUT
H7C159	SRRT
F8WAU7	SEC22A
Q13332-2	PTPRS
J3QLL0	KPNA2
Q9UMF0	ICAM5
Q5TAT6-10	COL13A1
Q6IQ20	NAPEPLD
E9PLX6	CDHR5
C9J3G1	CHN1
P34998-2	CRHR1
P63313	TMSB10
A5YM72	CARNS1
H0YE15	CPSF3L
B4E2K3	XRN1
Q14BN4-3	SLMAP
Q2TAY9	TTLL5
Q9Y6X6	MYO16
Q9NRS4-3	TMPRSS4
H0YK91	PAK6
C9K0P9	DVL3
H0YAW8	BRD9
P0CF97	FAM200B
A8MWQ6	FAM153A
K7ERK1	ATG4D
Q86YR7-4	MCF2L2
C9J348	SORBS2
C9JAK9	TMBIM1
Q9P2N6-7	KANSL3
H0YLJ1	ATP8B4
E5RJB9	PABPC1
E9PNR1	OSBPL9
D6R945	TTC29
H0YI61	None
A9YTQ3-3	AHRR
Q96N46	TTC14
J3KRL1	CCNL2
Q5R372-4	RABGAP1L
E7EP88	FBXO11
C9JPY5	TTC12
E5RIN5	PIGF
J3KSK5	STRADA
H0YFZ8	ARHGEF17
Q5T292-3	C10orf128
E9PJ33	PACSIN3
Q14802	FXYD3
C9JEN7	CD33
K7ENT1	ADAP2
